DZ_Nr,Koor_WGS84_N,Koor_WGS84_E,Anmerkungen
9937,47.90504655,12.61637728,Datenübertragungsprobleme zeitweise in 2013 und Freigabe Ettendorfer Tunnel Ende 2012
9321,48.08516665,12.02446436,Gerätedefekt zeitweise in 2013 und Schleifendefekt zeitweise in 2012
9142,47.86947915,12.66766039,Ausweichverkehr durch Hochwasser im Juni 2013 und Gerätedefekt in 2012
9143,47.87556106,12.65792407,Neue Zählstelle ab Januar 2013 / Ausweichverkehr durch Hochwasser im Juni 2013
9320,48.07627081,11.83049925,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9147,47.71463128,12.47605042,
9462,48.40672972,12.7807766,Schleifendefekt zeitweise in 2013 / Ausweichverkehr durch Hochwasser im Juni 2013
9102,48.25070781,11.70189271,Baustelle in 2013 und Gerätedefekt in 2012
9307,49.71396569,9.21289474,Gerätedefekt zeitweise in 2013 und Baustelle zeitweise in 2012
9296,49.70319887,9.22061027,
9324,49.55953414,10.54525676,
9297,49.77632051,11.3068839,
9988,48.23449102,11.3500193,
9188,47.80078565,10.97632452,Baustelle zeitweise in 2013 und Datenübertragungsprobleme zeitweise in 2012
9199,47.799017,11.11860129,Gerätedefekt in 2013 und Schleifendefekt zeitweise in 2012
9204,47.79987048,11.11814899,Gerätedefekt in 2013 und Schleifendefekt zeitweise in 2012
9853,49.73129332,10.82538504,Baustelle zeitweise in 2012
9870,48.46709114,13.42056463,Baustelle in 2013 und Schleifendefekt in 2012
9871,48.46397135,13.41339457,Baustelle in 2013 und Schleifendefekt in 2012
9420,48.84568129,13.37279482,
